abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
caustic;n. 腐蚀剂a. 腐蚀性的;['k3:stik]
cautious;a. 谨慎的,小心的;['k3:54s]
cavern;n. 巨穴,洞窟vt. 放于山洞中,挖空;['k1v4n]
ceaseless;a. 不停的,不断的;['si:slis]
celebrity;n. 名声,名人;[si'lebriti]
celestial;a. 天的,天国的,天空的;[si'lestj4l]
censor;n. 检查员vt. 检查,审查,删改;['sens4]
censure;n. 责难vt. 非难,指责;['sen54]
centigrade;a. 分为百度的,摄氏的;['sentigreid]
ceremonial;n. 仪式a. 正式的;['seri'm4unj4l]
ceremonious;a. 讲究仪式的,隆重的;[seri'mounj4s]
ceremony;n. 典礼,仪式,礼节;['serim4ni]
chafe;n. 擦伤,气恼vt.vi. 摩擦,擦痛,激怒;[t5eif]
chalk;n. 粉笔,白垩vt. 用粉笔写,记录;[t53:k]
champion;n. 冠军,拥护者,战士vt. 保卫,拥护a. 优胜的;['t51mpj4n]
chaos;n. 大混乱,混沌;['kei3s]
chalk;n. 粉笔,白垩vt. 用粉笔写,记录;[t53:k]
champion;n. 冠军,拥护者,战士vt. 保卫,拥护a. 优胜的;['t51mpj4n]
chaos;n. 大混乱,混沌;['kei3s]
character;n. 个性,字元,人物,资格,品格;['k1rikt4]
charge;n. 指控,费用,冲锋,电荷,炸药,嘱咐,被托管人,主管vt. 控诉,加罪于,使承担,充电vi. 冲锋,要价,收费;[t5a:d9]
charisma;n. 非凡的领导力,教祖般的指导力,神授的能力;[k4'rizm4]
charitable;"adj. 1 a. 慈悲为怀的; 仁慈的,慈善的b. [对…]慈悲 [仁慈] 的[to, toward]2 富于博爱精神 [基督教之爱] 的3 a.  (对人评估时) 宽大 [宽容] 的b. [对…]宽大 [宽容] 的[to, toward]4  (做) 慈善的 <团体>  adv. charitably n. ~ness";['t51r4t4bl]
charity;n. 慈悲,博爱,慈善团体,施舍;['t51riti]
chary;a. 细心的,吝啬的,谨慎的;['t51ri]
chaste;a. 贞洁的,纯洁的,朴素的;[t5eist]
chat;n. 闲谈vi. 闲谈,聊天;[t51t]
check;n. 检查,支票,象棋中将军,行李票vt. 检查,阻止,托运,寄存,核对vi. 逐项相符,开支票;[t5ek]
cherish;vt. 珍爱,怀有,爱护;['t5eri5]
chide;vt.vi. 斥责,责骂;[t5aid]
chiefly;ad. 主要地;['t5i:fli]
chill;n. 寒冷,寒意,失意a. 寒冷的,冷漠的vt. 使寒心,冷冻vi. 变冷;[t5il]
chilly;a. 寒冷的,冷淡的,不友好的;['t5ili]
chirp;n. 喳喳声,唧唧声vt.vi. 吱喳而鸣;[t54:p]
choice;n. 选择,精选品,选择权a. 精选的,挑三拣四的,可选的;[t53is]
choke;vt. 窒息,阻塞,噎,抑制vi. 窒息,阻塞,噎n. 窒息,噎,阻气门;[t54uk]
choose;vt. 选择,宁愿,欲vi. 选择,喜欢;[t5u:z]
chop;n. 厚肉片,排骨,砍,商标,戳记,交换vt. 剁碎,砍,切,割断vi. 砍,突然转向;[t53p]
chore;n. 零工,家务;[t53:]
chorus;n. 合唱队,齐声vt.vi. 齐声说道,合唱;['k3:r4s]
chronic;a. 慢性的,习惯性的;['kr3nik]
chuckle;n. 吃吃的笑声,轻笑vi. 吃吃的笑,咯咯叫;['t58kl]
cipher;n. 零,暗号,阿拉伯数字,无用的东西,密码vt.vi. 计算,做算术;['saif4]
circuitous;a. 迂回的路的,迂曲的,绕行的;[s4'kju:it4s]
circular;a. 圆形的,循环的,周围的;['s4:kjul4]
circulate;vi.vt. (使)流通,使)循环,(使)传播;['s4:kjuleit]
circulation;n. 流通,循环,发行量;['s4:kju'lei54n]
circumference;n. 圆周,周围,胸围;[s4'k8mf4r4ns]
circumscribe;vt. 在...周围画线,限制;[s4:k4m'skraib]
circumspect;a. 细心的,慎重的;['s4:k4mspekt]
circumvent;vt. 绕行,陷害,包围,智取;[s4:k4m'vent]
cite;vt. 引用,引证,例证;[sait]
civilian;n. 平民,文官a. 平民的,文官的,民间的;[si'vilj4n]
clamor;n. 喧闹,叫嚷,大声的要求vi.vt. 喧嚷,大声的要求;['kl1m4]
clamp;n. 螺丝钳vt. 夹紧,强加;[kl1mp]
clandestine;a. 秘密的;[kl1n'destin]
clarify;vi. 澄清,阐明vt. 使明晰;['kl1rifai]
clause;n. 子句,条款;[kl3:z]
clean;a. 干净的,清白的,巧妙的ad. 清洁地,完全地vt. 清理,使干净,出空vi. 被搞干净;[kli:n]
cleanse;vt. 使清洁,净化,使纯洁;[klenz]
cleft;n. 裂缝,裂口a. 劈开的vbl. 劈开,分开;[kleft]
clergy;n. 圣职者,牧师,僧侣,神职人员;['kl4:d9i]
climate;n. 气候,民意状况,社会趋势,风土;['klaimit]
climax;n. 高潮,极点,层进法vi.vt.(使)达到顶点,(使)达到高潮;['klaim1ks]
clinch;n. 钉牢vt.vi. 敲弯,扭住;[klint5]
cling;vi. 粘紧,附着,紧贴,坚持;[kli6]
clinic;n. 诊所,临床教学;[klinik]
clip;n. 修剪,夹,回形针,剪下来的东西vt. 修剪,痛打,夹牢,剪辑vi. 剪报,;[klip]
clog;n. 障碍,重物vt.vi. 障碍,阻塞;[kl3g]
close;n. 结束,完结a. 靠近的,亲近的,亲密的,狭窄的秘密的,关闭的vt. 关,结束,使接近,封闭,使靠近vi. 关闭,结束,靠近ad. 接近地,紧密地v. 关闭;[kl4uz,kl4us]
clot;n. 凝块,群vt.vi. (使)凝结,(使)聚集;[kl3t]
clothing;n. 衣服;['kl4u0i6]
clumsy;a. 笨拙的,不雅观的,粗陋的;['kl8mzi]
cluster;n. 串,丛,群vi. 成串,丛生vt. 使聚集n. 簇;['kl8st4]
clutter;n. 杂乱vt. 弄乱,混乱;['kl8t4]
coarse;a. 粗糙的,下等的,粗俗的a. 粗略的;[k3:s]
coax;vt. 哄,诱骗,慢慢的做好vi. 哄骗n. 哄骗;[k4uks]
coddle;vt. 娇养,溺爱,煮蛋n. 娇生惯养的人,宝贝子弟,娇养_⒌娜?;['k3dl]
cogent;a. 使人首肯的,使人信服的,切实的;['k4ud94nt]
cohere;vi. 附着,粘着,凝聚,符合;[k4u'hir]
coherent;a. 互相密合着的,凝聚性的,连贯的;[k4u'hi4r4nt]
cohesion;n. 结合,凝聚,内聚;[k4u'hi94n]
cohesive;a. 粘着的;[kou'hi:siv]
coil;n. 卷,环绕,骚动vt. 盘绕,卷;[k3il]
coin;n. 硬币,金钱,货币vt. 铸造,创造,杜撰;[k3in]
coincide;vi. 一致,符合;['k4uin'said]
collaborate;vi. 合作,通敌;[k4'l1b4reit]
collapse;n. 崩溃,倒塌,虚脱vi. 倒塌,崩溃,瓦解vt. 使倒塌v. 折叠;[k4'l1ps]
collateral;a. 并行的,附随的,旁系的n. 支亲,副保,附属担保物;[k4'l1t4r4l]
colloquial;a. 白话的,口语的,语体的;[k4'loukwi4l]
colossal;a. 巨大的,巨像似的;[k4'l3sl]
combination;n. 组合,合并,联合n. 组合图;['k3mbi'nei54n]
comet;n. 彗星;['k3mit]
commander;n. 司令官,指挥官;[k4'ma:nd4]
commence;vt.vi. 开始,倡导;[k4'mens]
commend;vt. 委托给,推荐,嘉奖;[k4'mend]
commentator;"(C) 1 注解者2[电视.广播]时事评论家; 实况报道[广播] 者";['k3menteit4,-m4n-]
commerce;n. 商业,商务,贸易;['k3m41:3s]
commission;n. 委任状,任官令,命令,佣金,代办,委托,犯法vt. 委任,委托制作,使服役;[k4'mi54n]
committee;n. 委员会;[k4'miti]
commodious;a. 宽敞的,方便的;[k4'moudj4s]
communicate;vt. 沟通,传达,感染vi. 通讯;[k4'mju:nikeit]
community;n. 社区,公众,共有,共同体;[k4'mju:niti]
compact;a. 紧凑的,紧密的,简洁的vt. 使装满,使简洁vi. 变紧密;['k3mp1kt,k4m'p1kt]
company;n. 公司,友伴,交际,一群,朋友,连队vt. 陪伴vi. 交往;['k8mp4ni]
comparable;a. 可比较的,比得上的;['k3mp4r4bl]
comparative;a. 比较的,相当的n. 匹敌者;[k4m'p1r4tiv]
compare;vt. 比较,比喻,匹敌vi. 相比n. 比较;[k4m'pA4]
compassion;(U)  (真诚的) 同情 (心) ,怜悯 [on,upon,for];[k4m'p15n]
compatible;a. 能共处的,可并立的,适合的;[k4m'p1t4bl]
compel;vt. 强迫,迫使;[k4m'pel]
compensation;n. 补偿,赔偿金,薪资;['k3mpen'sei54n]
compete;vi. 竞争,对抗;[k4m'pi:t]
competent;a. 能干的,胜任的,有权能的,足够的;['k3mpit4nt]
compile;vt. 编译,编辑,编纂,搜集n. 编译;[k4m'pail]
complaint;n. 诉苦,抱怨,控诉;[k4m'pleint]
complement;n. 补足物,补语,余角vt. 补助,补足;['k4mplim4nt]
complementary;a. 补充的,补足的;[k3mpli'men't4ri]
complete;a. 完全的,熟练的,完成的vt. 完成,完工,使圆满;[k4m'pli:t]
complex;n. 合成物,情结,复杂a. 复杂的,合成的;['k3mpleks]
complicate;vt. 弄复杂,使错综,使起纠纷vi. 变复杂;['k3mplikeit]
compliment;n. 称赞,恭维,致意vt. 称赞,褒扬,恭维;['k3mplim4nt]
complimentary;a. 问候的,称赞的,夸奖的;['kampl4'mAnt4ri]
comply;vi. 顺从,答应;[k4m'plai]
component;n. 元件,组件,成分a. 组成的,合成的n. 组件;[k4m'p4un4nt]
composed;a. 镇静的,沉着的;[k4m'p4uzd]
composure;n. 镇静,沉着;[k4m'p4u94]
comprehend;vt. 理解,包括;['k3mpri'hend]
comprehensive;a. 广泛的,有理解力的,包容力大的;['k3mpri'hensiv]
comprise;vt. 包含,构成;[k4m'praiz]
compulsive;a. 强制的,强迫的;[k4m'p8lsiv]
compulsory;a. 被强制的,强迫的,义务的;[k4m'p8ls4ri]
conceal;vt. 隐藏,掩盖,掩蔽;[k4n'si:l]
concede;vt. 承认,退让vi. 让步;[k4n'si:d]
conceit;n. 自负,空想,狂妄;[k4n'si:t]
conceive;vt. 构思,以为vi. 怀孕;[k4n'si:v]
concerned;a. 关心的;[k_n's_:nd]
concert;n. 音乐会,合奏,一致vt. 协定,协调vi. 协力;['k3ns4t]
concerted;a. 商议好的,协定的,预定的;[k4n's4:tid]
concession;n. 特许,让步,认可;[k4n'se54n]
conciliatory;a. 安抚的,怀柔的,融和的;[k4n'sili4t4ri]
concise;a. 简洁的,简明的;[k4n'sais]
conclude;vt. 结束,作结论,推断vi. 结束,断定;[k4n'klu:d]
conclusive;a. 决定性的,确实的,最后的;[k4n'klu:siv]
concoct;vt. 混合而制,调合,捏造,编造;[k4n'k3kt]
concrete;n. 水泥,混凝土a. 具体的,实在的,水泥的vt.vi. (使)凝结,(使)结合;['k3nkri:t]
concur;vi. 意见相同,一致,互助;[k4n'k4:]
concurrence;n. 赞同,意见一致,协力;[k4n'k8r4ns]
concurrent;n. 同时发生的事件a. 同时发生的,一致的;[k4n'k8r4nt]
condemn;vt. 判刑,责备,谴责,声讨,处刑;[k4n'dem]
condiment;n. 调味品;['k3ndim4nt]
condition;n. 情况,条件vt. 以...为条件,决定,支配,使适应;[k4n'di54n]
condone;vt. 赦,宽恕;[k4n'd4un]
conduct;n. 行为,举动,指导vt. 引导,指挥,管理,实施vi. 引导,传导,指挥;['k3nd4kt,
cone;n. 圆锥体,球果vt. 使成锥形;[k4un]
confederate;n. 同盟者,同盟国a. 同盟的,联合的vt.vi. (使)联盟,(使)联合;[k4n'fed4rit]
confer;vt. 赠予,协议vi. 协商;[k4n'f4:]
conference;n. 会议;['k3nf4r4ns]
confess;vt.vi. 承认,坦白,忏悔,供认;[k4n'fes]
confide;vt. 吐露,信托vi. 信赖;[k4n'faid]
confidence;n. 信心;['k3nfid4ns]
confident;a. 有信心的,有把握的;['k3nfid4nt]
confidential;a. 机密的,获他人信赖的,易于信任他人的;['k3nfi'den54l]
confine;vt. 限制,闭居,禁闭n. 边缘,范围,区域;[k4n'fain]
confirm;vt. 确定,批准,使巩固,使有效v. 确认;[k4n'f4:m]
confiscate;vt. 没收,充公,查抄a. 被没收的;['k3nfiskeit]
confound;vt. 使混淆,使狼狈,挫败;[k4n'faund]
congenial;a. 同性质的,适意的,趣味相同的;[k4n'd9i:nj4l]
congested;a. 拥挤的;[k4n'd9estid]
congregate;vt.vi. (使)集合,(使)聚集a. 集合在一起的,集体的;['k36grigeit]
congressman;n. 国会议员,众议院议员;['k36gresm4n]
congruity;n. 适合,一致,调和;[k4n'gru4ti]
conjure;vt. 以咒文召唤,变戏法,想象vi. 变戏法,施魔法vt. 祈求,恳求;['k8nd94,k4n'd9u4]
connivance;n. 默许,纵容,假装不见;[k4'naiv4ns]
connive;vi. 假装不见,默许,共谋,纵容;[k4'naiv]
connoisseur;n. 鉴识家,鉴定家,内行;[k3:ni's4:]
conscience;n. 良心;['k3n54ns]
conscientious;a. 有责任心的,负责的,本着良心的;['k3n5i'en54s]
conscious;a. 有意识的,知觉的,觉察的;['k3n54s]
consecrate;vt. 供神用,奉献,使神圣a. 被献给神的,神圣的;['k3nsikreit]
consecutive;a. 连续的,联贯的,始终一贯的;[k4n'sekjutiv]
consensus;n. 一致,交感;[k4n'sens4s]
conservative;a. 保守的,守旧的,有保存力的;[k4n's4:v4tiv]
conservatory;a. 保存性的,有保存力的n. 温室,音乐学校;[k4n's4:v4touri]
conserve;n. 蜜饯,果酱vt. 保存,保全;[k4n's4:v]
consider;vt.vi. 考虑,思考,认为;[k4n'sid4]
considerable;a. 相当的,可观的,重要的;[k4n'sid4r4bl]
considerate;a. 体贴的,体谅的,顾虑周到的;[k4n'sid4rit]
console;vt. 安慰,藉慰n. 控制台v. 控制台;[k4n's4ul]
consolidate;vt. 巩固,使联合,统一vi. 巩固;[k4n's3lideit]
consort;n. 配偶,夫妻vi. 陪伴,结交,符合vt. 使配对;['k3ns3:t,k4n's3:t]
conspicuous;a. 显著的,显眼的,出众的;[k4n'spikju4s]
conspiracy;n. 同谋,阴谋,反叛;[k4n'spir4si]
conspire;vi. 阴谋,协力,共谋vt. 图谋;[k4n'spai4]
constant;n. 常数,恒量a. 不变的,一定的,时常的;['k3nst4nt]
constellation;n. 星座,灿烂的一群;['k3nst4'lei54n]
constitute;vt. 构成,组成,任命;['k3nstitju:t]
constrain;vt. 强迫,勉强,驱使;[k4n'strein]
constrict;vt. 压缩,束紧,使收缩vi. 压缩;[k4n'strikt]
construct;vt. 构造,建造,想出,作图n. 构成物;[k4n'str8kt]
construe;vt. 解释,分析,逐字翻译vi. 作句法分析n. 逐字翻译;[k4n'stru:]
consult;vi. 商讨,商量,协商,会诊vt. 向...请教,查阅,考虑;[k4n's8lt]
consume;vt. 消耗,消费,消灭vi. 消灭,毁灭;[k4n'sju:m]
consumer;n. 消费者;[k4n'sju:m4]
contagious;a. 传染性的,会蔓延的,会传播的;[k4n'teid94s]
container;n. 容器,集装箱; [k_n'tein_]
contaminate;vt. 弄污,弄脏,毒害,传染,染污;[k4n't1mineit]
contemn;vt. 侮辱,蔑视;[k4n'tAm]
contemplate;vt. 注视,沉思,打算vi. 冥思苦想;['k3ntempleit]
contemptible;a. 卑鄙的,可轻蔑的,不足齿的;[k4n'tempt4bl]
contemptuous;a. 轻蔑的,侮辱的,瞧不起人的;[k4n'temptju4s]
contend;vi. 奋斗,斗争,竞争vt. 为...斗争;[k4n'tend]
content;n. 内容,满足,意义,要旨a. 满足的,满意的,意义的vt. 使...满足,使...安心;['k3ntent,k4n'tent]
continent;n. 大陆,洲a. 自制的;['k3ntin4nt]
contingent;a. 或许发生的,附随的,暂时的n. 偶然的事情,分遣队;[k4n'tind94nt]
continually;ad. 不断地,频繁地;[k4n'tinju4li]
contour;n. 轮廓vt. 画轮廓a. 与轮廓相符的;['k3ntu4]
contract;n. 合约,婚约,契约vt. 使缩短,感染,缔结,承包,订约vi. 订约,承包;['k3ntr1kt,k4n'tr1kt]
contradict;vt. 反驳,与...抵触,与...矛盾vi. 反驳;['k3ntr4'dikt]
contrast;n. 差别,对比,对照物vt. 使对比vi. 成对照;['k3ntr1st,k4n'tr1st]
contravene;vt. 1 违反,违背,冒犯 <习惯、法律等>2 a. 反驳,反对 <议论、陈述等> b. 与<主义等>矛盾,抵触;['k3ntr4'vi:n]
contrite;a. 悔悟了的,后悔的,痛悔的;['k3ntrait]
contrive;vt.vi. 发明,设计,图谋;[k4n'traiv]
controversial;a. 争论的,论争的,被议论的;['k3ntr4'v4:54l]
controversy;n. 论争,辩论,论战,争论;['k3ntr4v4:si]
controvert;vt. 议论,辩驳,驳击vi. 参加辩论;['k3ntr4'v4:t]
convene;vt. 集合,召集,召唤vi. 聚集,集合;[k4n'vi:n]
convenient;a. 方便的,合宜的;[k4n'vi:nj4nt]
convention;n. 大会,协定,惯例n. 约定;[k4n'ven54n]
convert;n. 皈依者,改宗者vt. 使改变信仰,兑换,倒置vi. 皈依n. 转换;[k4n'v4:t,'k3nv4:t]
convey;vt. 传达,运输,转移;[k4n'vei]
convict;n. 囚犯,罪犯vt. 宣告有罪,使知罪;[k4n'vikt,'k3nvikt]
convoy;n. 护送,护卫,警护vt. 护航,护送;['k3nv3i]
cooperation;n. 合作,协力,合作社;[k4u'3p4'rei54n]
coordinate;n. 同等的人物,同位格,坐标a. 同等的,等位的vt.vi. (使)协调;[k4u'3dinit]
copper;n. 铜,警察;['k3p4]
copy;n. 副本,模仿,一册vt.vi. 复印,抄袭n. 副本v. 复制;['k3pi]
cordial;n. 兴奋剂,补品a. 热忱的,诚恳的,兴奋的;['k3:dj4l]
corps;n. 军团,队,团,兵种;[k3:]
corpse;n. 尸体;[k3:ps]
corpulent;a. 肥大的,肥胖的;['k4:pjul4nt]
correct;a. 正确的,品行端正的vt. 改正,订正;[k4'rekt]
correlate;n.有相互关系的东西,相关物vt. 使有相互关系vi. 互相有关系;['k3rileit]
correspondence;n. 相符,通信,信件;['k3ris'p3nd4ns]
corroborate;vt. 使坚固,确证;[k4'r3b4reit]
corrode;vt. 使腐蚀,侵蚀,破坏vi. 腐蚀,被侵蚀;[k4'r4ud]
cosmopolitan;adj. 1  (无地方或国家偏见的) 世界主义的,四海为家的2 世界性的,国际的3[生物]分布于全世界的 (C) 四海为家的人,世界主义者,无国家偏见的人;['k3zm4'p3lit4n]
costume;n. 装束,服装;['k3stju:m]
counsel;n. 商议,忠告,法律顾问vi.vt. 商议,劝告;['kauns4l]
counterfeit;n. 赝品,伪造品a. 假冒的,假装的vt.vi. 仿造,伪装,假装;['kaunt4fit]
counterpart;n. 副本,复本,配对物,相应物;['kaunt4pa:t]
countless;a. 数不尽的,无数的;['kauntlis]
court;n. 法院,庭院,奉承vt. 献殷勤,追求,招致危险vi. 求爱;[k3:t]
courteous;a. 彬彬有礼,谦恭的;['k4:tj4s]
cover;n. 盖子,封面vt. 覆盖,掩饰,包括,掩护,保护vi. 覆盖;['k8v4]
;;
28002;;
;;
covetous;a. 妄羡的,乱要的,贪婪的;['k8v4t4s]
cower;vi. 畏缩,退缩,抖缩;['kau4]
cozy;a. 舒适的,安逸的,惬意的;['k4uzi]
craft;n. 技艺,手艺,诡计vt. 巧手制作;[kra:ft]
crafty;a. 狡诈的,诡计多端的,巧妙的;['kra:fti]
cram;vt. 塞满,填满,猛吃vi. 贪吃n. 塞满;[kr1m]
crash;n. 轰隆声,猛撞,崩溃,粗布vi.vt. 撞碎,破碎,迫降a. 速成的;[kr15]
crave;vt.vi. 渴望,热望,恳求;[kreiv]
crazy;a. 发狂的,狂热的;['kreizi]
credential;n. 国书,凭据,印信;[kri'den54l]
credit;n. 信用,信任,学分,贷款,荣誉vt. 归功于,赞颂,信任,相信;['kredit]
credulous;a. 轻信的,易被瞒的,易受骗的;['kredjul4s]
creed;n. 教条,主义,纲领;[kri:d]
creek;n. 小溪,_?小湾;[kri:k]
crevice;n. 裂缝;['krevis]
crew;n. 全体人员,群众,全体机员;[kru:]
crisp;a. 脆的,新鲜的,活泼的vt.vi. (使)烘脆,(使)卷曲,(使)起皱n. 松脆物;[krisp]
critical;a. 批评的,决定性的,危险的,临界的;['kritik4l]
crooked;a. 弯曲的,歪的,邪恶的;['krukid]
crucial;a. 决定性的,重要的,严厉的;['kru:5i4l]
crude;a. 天然的,未成熟的,粗糙的,粗鲁的n. 天然的物质;[kru:d]
crumble;vi. 崩溃,破碎,灭亡vt. 弄碎n. 面包屑;['kr8mbl]
crumple;vt. 弄皱,压皱vi. 崩溃,变皱;['kr8mpl]
crush;n. 压碎,粉碎,群众,迷恋vt. 压破,征服,挤入,弄皱,冲入vi. 被压碎,起皱,挤;[kr85]
crust;n. 外壳,坚硬的外壳,面包皮vt. 盖以硬皮vi. 结硬皮;[kr8st]
cryptic;a. 秘密的,神秘的,含义模糊的,隐藏的;['kriptik]
crystal;n. 水晶,水晶装饰品,结晶a. 水晶的,水晶一样的,透明的;['kristl]
cubic;a. 立方体的,立方的;['kju:bik]
cuisine;n. 烹调风格,烹调法,烹饪,厨房;[kwi'zi:n]
culmination;n. 顶点,极点,最高点;['k8lm4'ne54n]
culpable;a. 该责备的,有罪的,不周到的;['k8lp4bl]
cult;n. 礼拜,礼拜式,祭仪,一群信徒;[k8lt]
cultivate;vt. 培养,耕作;['k8ltiveit]
cultivation;n. 教化,培养,耕作;['k8lti'vei54n]
cunning;a. 狡猾的,巧妙的,可爱的;['k8ni6]
curb;n. 抑制,勒马绳,边石vt. 抑制,束缚,勒住;[k4:b]
curiosity;n. 好奇心,新奇的事物,珍品;['kju4ri'3siti]
curious;a. 好奇的,求知的,古怪的;['kju4ri4s]
currency;n. 通货,流通,通用n. 货币,货币型;['k8r4nsi]
current;n. 涌流,趋势,流a. 流通的,现在的,最近的a. 当前的;['k8r4nt]
cursory;a. 匆匆忙忙的,草率的,粗略的;['k4:s4ri]
curt;a. 简略的,简短的,生硬的;[k4:t]
curtail;vt. 缩减,剥夺,简略;[k4:'teil]
cushion;n. 垫子,橡皮软垫vt. 加垫褥,缓冲,掩盖;['ku54n]
custom;n. 习惯,风俗,海关v. 定制n. 自定义;['k8st4m]
cynical;a. 愤世嫉俗的,讽刺的,冷嘲的;['sinik4l]
dab;n. 少量,轻拍,比目鱼,熟手vt.vi. 轻拍,轻擦;[d1b]
dagger;n. 匕首vt. 用剑刺;['d1g4]
damp;n. 湿气a. 潮湿的vt. 使潮湿,阻尼,抑止vi. 变潮湿,衰减;[d1mp]
dampen;vt. 弄湿,使衰减vi. 变湿,丧气;['d1mp4n]
dangerous;a. 危险的;['deind9r4s]
dangle;vi. _蔚匦_易?追求vt. 使_蔚匦__. _蔚匦_?;['d16gl]
dank;a. 透水的,潮湿的;[d16k]
daring;a. 大胆的;['dA4ri6]
dart;n. 飞镖,投射vt. 投射vi. 疾走,突进;[da:t]
dated;a. 有日期的,陈旧的;['deitid]
dauntless;a. 不屈不挠的,大胆的;['d3:ntlis]
daze;vt. 使茫然,发昏,使眼花缭乱n. 迷乱,眼花缭乱;[deiz]
dazzle;vt.vi. (使)眼花,目眩n. 耀眼;['d1zl]
dazzling;a. 眼花缭乱的,耀眼的;['d1zli6]
dead;a. 死的,不活泼的,麻木的,熄灭的n. 死者ad. 完全地,突然地;[ded]
deadly;a. 致命的,致死的ad. 非常地,如死一般地;['dedli]
deal;n. 交易,协定,松木,买卖,分量vi. 处理,应付,做生意vt. 分配,发牌,给予v. 发牌;[di:l]
debatable;a. 可争论的,成问题的,未决定的;[di'beit4bl]
debt;n. 债务,罪过;[det]
debtor;n. 债务人,借主,借方;['det4]
decadence;n. 颓废;[di'kedns]
decay;n. 衰退,腐败vi. (使)衰退,(使)腐败;[di'kei]
deceit;n. 欺骗,谎言;[di'si:t]
deceitful;a. 欺诈的;[di'si:tful]
deceive;vt.vi. 欺骗,行骗;[di'si:v]
decent;a. 有分寸的,得体的,大方的;['di:snt]
deceptive;a. 迷惑的,虚伪的,欺诈的;[di'sAptiv]
decide;vt.vi. 决定,判决;[di'said]
decimal;a. 十进位的,小数的n. 十进制,小数点;['desim4l]
declaim;vi.vt. 巧辩,演讲,朗读;[di'kleim]
decline;n. 衰微,跌落,下降vt. 使降低,婉谢vi. 下降,衰落,偏斜;[di'klain]
declivity;n. 倾斜,下坡;[di'kliv4ti]
decorum;n. 端正,礼貌合宜,礼仪;[di'k3:r4m]
decree;n. 法令,判决,圣旨vt. 颁布,判决vi. 发布命令;[di'kri:]
decry;vt. 责难,诽谤,诋毁;[di'krai]
dedicate;vt. 献出,贡献;['dedikeit]
deem;vt.vi. 认为,相信;[di:m]
defame;vt. 诽谤,中伤,破坏名誉;[di'fem]
default;n. 假设值,不履行责任,缺席vt.vi. 疏怠职责,缺席,拖欠v. 默认;[di'f3:lt]
defect;n. 缺点;[di'fekt]
defection;n. 背叛,脱党,离会;[di'fAk54n]
defective;a. 有缺陷的,欠缺的n. 有缺陷的人,不完全变化动词;[di'fektiv]
defend;vt. 防护,辩护,防卫;[di'fend]
defer;vi. 推迟,延期,听从vt. 使推迟,使延期;[di'f4:]
deference;n. 顺从,尊重;['dAf4r4s]
deferential;a. 恭敬的;[def4'ren54l]
defiant;a. 挑衅的,目中无人的;[di'fai4nt]
deficit;n. 赤字,不足额;['difisit]
defile;vt. 弄脏,污损,败坏vi. 以纵队前进n. 隘路,狭谷;[di'fail]
