abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
available;a. ÓÐÓÃµÄ,ÓÐ¿ÕµÄ;[4'veil4bl]
avalanche;n. Ñ©±À,É½±À,Ó¿µ½Ö®Îïvi. ±ÀÂä,Ó¿ÖÁvt. ´óÁ¿Í¶Èë;['1v4la:n5]
avarice;n. Ì°²Æ,Ì°À·;['1v4ris]
avaricious;a. Ì°²ÆµÄ,Ì°À·µÄ;[1v4'ri54s]
average;n. Æ½¾ù,Æ½¾ùÊý,º£Ëða. Ò»°ãµÄ,Í¨³£µÄ,Æ½¾ùµÄvt. Æ½¾ùÎª,¾ù·Ö,Ê¹Æ½ºâvi. Âò½ø,Âô³ö;['1v4rid9]
aversion;n. Ñá¶ñ,ÌÖÑáµÄÊÂ,ÌÖÑáµÄÈË;[4'v4:54n]
avert;vt. ×ª¿ª,±ÜÃâ,·ÀÖ¹;[4'v4:t]
aviator;n. ·ÉÐÐÔ±,·ÉÐÐ¼Ò;['eivieit4]
avid;a. ÈÈÍûµÄ,¼±ÇÐµÄ,Ì°À·µÄ;['1vid]
avoid;vt. ±ÜÃâ,Ïû³ý;[4'v3id]
avow;vt. ÉùÃ÷,³ÐÈÏ,ÕÐÈÏ;[4'v4u]
awe;n. ¾´Î·vt. Ê¹¾´Î·;[3:]
awkward;a. ±¿×¾µÄ;['3:kw4d]
axis;n. Öá;['1ksis]
baby-sit;vi. µ£ÈÎÁÙÊ±±£Ä·,ÕÕ¹ËÓ¤¶ù; ['beibi_sit]
backward;ad.a. ÏòºóµØ(µÄ),Ïà·´µØ(µÄ);['b1kw4d]
baggage;n. ÐÐÀî;['b1gid9]
bait;n. ¶üvt. ÒÔ¶üÒýÓÕ,ÆÛ¸ºvi. ÖÐÍ¾ÐÝÏ¢;[beit]
balance;n. Æ½ºâ,²î¶îvi. Æ½ºâ,ÏàµÈvt. ³Æ,È¨ºâ,±È½Ï,µÖÏû,½áËã;['b1l4ns]
bald;a. ÍºÍ·,¹âÍºµÄ,µ¥µ÷µÄ,³àÂãµÄ;[b3:ld]
balk;n. ÕÏ°­,´íÎó,Ê§°Üvt. ×èÖ¹,Í»È»Í£Ö¹,ÍËËõvi. åÒÑ²²»Ç°;[b3:k]
ballot;n. Í¶Æ±,Í¶Æ±ÓÃÖ½,³éÇ©vi. ²»¼ÇÃûÍ¶Æ±,³éÇ©vt. Í¶Æ±Ñ¡³ö,À­Ñ¡Æ±;['b1l4t]
balmy;a. ·¼ÏãµÄ,ÎÂºÍµÄ,Ö¹Í´µÄ;['ba:mi]
ban;n. ½ûÁîvt. ½ûÖ¹,È¡µÞ;[b1n]
bandit;n. Ç¿µÁ;['b1ndit]
banish;vt. ÇýÖð,Ïû³ý;['b1ni5]
bankruptcy;n. ÆÆ²ú;['b16kr4ptsi]
banquet;n. Ñç»á;['b16kwit]
bar;n. Ìõ,°ô,ÕÏ°­Îï,Õ¤,¾Æ°Évt. ½ûÖ¹,×èµ²,·Á°­;[ba:]
barbarian;n. Ò°ÂùÈËa. Ò°ÂùµÄ;[ba:'bA4ri4n]
bare;a. ³àÂãµÄ,¼«ÉÙµÄ,ÎÞÕÚ±ÎµÄ,Ì¹ÂÊµÄvt. Ê¹³àÂã,Â¶³ö;[bA4]
barely;ad. ¼¸ºõ²»ÄÜ;['bA4li]
barometer;n. ÆøÑ¹¼Æ;[b4'r3mit4]
barren;a. ²»ÓýµÄ,Æ¶ñ¤µÄn. »ÄµØ;['b1r4n]
barricade;n. ·ÀÎÀ¹¤ÊÂ,ÕÏ°­vt. ÉèÂ·ÕÏÓÚ,×è°­;[b1ri'keid]
barrier;n. ÕÏ°­,Õ¤À¸;['b1ri4]
barter;n. ÎïÎï½»»»,ÊµÎï½»Ò×vt.vi. ÎïÎï½»»»,½»»»;['ba:t4]
bashful;a. º¦ÐßµÄ;['b15ful]
basin;n. ÅèµØ,Åè;['beisn]
bask;vi. É¹Ì«Ñô,ÊæÊÊ;[b1:sk]
baste;vt. ¼Ù·ì,ÈóÒÔÓÍÖ¬,Í¿ÒÔÄÌÓÍ,ºÝ×á;[beist]
batter;n. ÄÚÇã,»÷ÇòÊÖvt. ´ò»µ,ÃÍ»÷,Ê¹ÄÚÇãvi. ÃÍ»÷,ÄÚÇã;['b1t4]
bear;n. ÐÜvt. ÈÌÊÜ,¸ººÉ,Ê¹µø¼Û,»³ÓÐ,²úÉúvi. ÈÌÊÜ,½á¹ûÊµ,×ªÏò,¿ª¶¯,Ñ¹ÆÈ;[bA4]
beat;n. ´ò,ÇÃ´òÉù,ÅÄ×Óvt.vi. ´ò,´ò°Ü,ËÑË÷a. Æ£·¦µÄ,ÍÇ·ÏµÄ;[bi:t]
becoming;a. ºÏÊÊµÄ,ÊÊµ±µÄ;[bi'k8mi6]
beforehand;ad. Ô¤ÏÈ;[bi'f3:h1nd]
befuddle;vt. Ê¹»èÃÔ,Ê¹ÃÔ»ó,Ê¹ÃÔºý;[bi'f8dl]
beget;vt. ÕÐÖÂ,²úÉú,ÒýÆð;[bi'get]
begrudge;vt. ¼µ¶Ê,ÏÛÄ½,Éá²»µÃ¸ø,ÁßÏ§;[bi'gr8d9]
beguile;vt. ÓÕÆ­;[bi'gail]
behave;vi. ¾ÙÖ¹,ÐÐÎª,±íÏÖvt. Ê¹±íÏÖºÃ;[bi'heiv]
behavior;n. ÐÐÎª,¾ÙÖ¹;[bi'heivj4]
belie;vt. ÑÚÊÎ,Óë...²»·û,Ê¹Ê§Íû;[bi'lai]
believer;n. ÐÅÍ½;[bi'li:v4]
belittle;vt. ÇáÊÓ,Ê¹ÃìÐ¡;[bi'litl]
belligerent;a. ºÃÕ½µÄ,½»Õ½µÄ,½»Õ½¹úµÄ;[bi'lid94r4nt]
benefactor;n. ¶÷ÈË,¾èÖúÕß,ÔùËÍÕß;['beni'f1kt4]
beneficial;a. ÓÐÒæµÄ;['beni'fi54l]
beneficiary;n. ÊÜ»ÝÕß,ÊÜÒæÈËa. ÊÜ·âµÄ;[beni'fi54ri]
benefit;n. ÀûÒævt. ÓÐÒæÓÚvi. ÊÜÒæ;['benifit]
benevolent;a. ´ÈÉÆµÄ;[bi'nev4l4nt]
benign;a. Á¼ÐÔµÄ;[bi'nain]
bent;a. ÍäÇúµÄ,¾öÐÄµÄvbl. ÍäÇún. °®ºÃ;[bent]
bequest;n. ÒÅÔùÎï,ÒÅ²ú,ÒÅÔù;[bi'kwest]
berate;vt. ÑÏÔð;[bi'reit]
bereave;vt. °þ¶á,Ê¹Ê§È¥;[b4'riv]
beset;vt. Î§¹¥,Ê¹¿àÄÕ,ÏâÇ¶;[bi'set]
besides;ad. ´ËÍâprep. ³ý...Ö®Íâ;[bi'saidz]
besiege;vt. Î§¹¥,°üÎ§;[bi'si:d9]
bestow;vt. ÊÚÓè,ÊÊÓÃ,ÁôËÞ,·ÅÖÃ,Ê¹ÓÃ;[bi'st4u]
betray;vt. ³öÂô,±³ÅÑ,¹¼¸º,±©Â¶;[bi'trei]
beverage;n. ÒûÁÏ;['bev4rid9]
bewilder;vt. Ê¹²»ÖªËù´ë;[bi'wild4]
bias;n. Æ«¼û,Ð±Ïßa.ad. Ð±(µÄ)vt. Ê¹ÓÐÆ«¼û;['bai4s]
bicker;vi. ¶·×ì,äýäý¶øÁ÷,ÉÁ¶¯n. ¿Ú½Ç,Á÷Ë®Éù;['bik4]
bidding;n. ÃüÁî,ÑûÇë,³ö¼Û;['bidi6]
bigoted;a. ¹ÌÖ´¼º¼ûµÄ,Ö´ÃÔµÄ,Íç¹ÌµÄ;['big4tid]
bill;n. ÕËµ¥,³®Æ±,Äñ×ì,Çåµ¥,Æ±¾Ý,·¨°¸vt. ËÍÕËµ¥,Ðû²¼;[bil]
biochemistry;n. ÉúÎï»¯Ñ§;['bai4u'kAmistri]
bizarre;a. ÆæÒìµÄ;[bi'z2:]
blame;n. ¹ýÊ§,Ôð±¸vt. Ôð±¸,¹é¾ÌÓÚ;[bleim]
bland;a. ÎÂºÍµÄ,·¦Î¶µÄ,ÀäÄ®µÄ;[bl1nd]
blast;n. Õó,Ò»Õó·ç,±¬Õ¨,¿ÝÎ®²¡vt. Õ¨,Ê¹¿ÝÎ®vi. ÃÍ¹¥,¹«¿ªÅúÆÀ,¿ÝÎ®;[bla:st]
bleach;vt. Æ¯°×vi. ±ä°×n. Æ¯°×,Æ¯°×¼Á;[bli:t5]
bleak;a. ÏôÉªµÄ,²Ô°×µÄ,»ÄÁ¹µÄ,ÒõÀäµÄ;[bli:k]
bleed;vi. Á÷Ñª,±¯Í´,Éø³övt. Ê¹³öÑª,Õ¥È¡;[bli:d]
blemish;n. ÎÛµã,È±µãvt. ÅªÔà,çèÎÛ,Ëðº¦;['blemi5]
blend;vt. »ìºÏn. »ìºÏ;[blend]
blessed;a. ÊÜ×£¸£µÄ;['blesid]
blessing;n. ×£¸£;['blesi6]
blink;vi. Õ£ÑÛ,ÉÁÁÁvt. Õ£ÑÛ,Ê¹ÉÁÁÁn. Õ£ÑÛ,Ë²¼ä,ÉÁ¹ân. ÉÁË¸;[bli6k]
bliss;n. ¸£ÓÓ,Ìì´ÍµÄ¸£;[blis]
block;n. ½ÖÇø,Ä¾¿é,Ê¯¿évt. ×èÈû,·âËø,Ê¹³É¿é×´n. ¿é;[bl3k]
blunder;n. ´ó´í,´óÊ§²ßvi. Ê§²ß,°íµ¹,·¸´ívt. ×ö´í;['bl8nd4]
blunt;a. ¶ÛµÄ,Ì¹ÂÊµÄ,Âé±ÔµÄ;[bl8nt]
board;n. Ä¾°å,¼×°å,»áÒé×À,º£°¶vt. ³Ë´¬,¹©ÉÅÊ³,ÓÃ°åÆÌvi. ´î»ïn. °å;[b3:d]
boast;n. ´µÅ£vi. ´µÅ£,×Ô¿ävt. ¿ä¿ÚËµ,×ÔÊÑÓÐ;[b4ust]
boastful;a. ×Ô¿äµÄ,×Ô¸º,Ï²¿äÒ«µÄ;['boustful]
bold;a. ´óµ¨µÄn. ´ÖÌå;[b4uld]
bombastic;a. ¿ä´óµÄ,¿ä¿äÆäÌ¸µÄ;[b3m'b1stik]
bonanza;n. ¸»¿ó´ø,´øÀ´ºÃÔËµÄÊÂÎï,ÐÒÔË;[bou'n1nz4]
bond;n. ½áºÏ,Õ®È¯,ÆõÔ¼,Õ³ºÏ¼Á,¹ØÕ»±£Áô,¼ü,±£Ö¤ÈËvt. ´æÈë¹ØÕ»,Õ³×Åvi. ½áºÏ;[b3nd]
bondage;n. Å«ÒÛ,Êø¸¿;['b3ndid9]
bonus;n. ½±½ð,ºìÀû;['b4un4s]
boon;n. ¶÷»Ý;[bu:n]
boredom;n. Ñá·³,Ñá¾ë,ÁîÈËÑá·³µÄÊÂÎï;['b3:d4m]
boring;a. ·³ÈËµÄ,ÎÞÁÄµÄ,ÎÞÈ¤µÄ;['b3:ri6]
botany;n. Ö²ÎïÑ§;['b3t4ni]
bound;n. Ô¾,»ØÌø,·¶Î§,±ß½ça. ÊÜÔ¼ÊøµÄ,×°¶©µÄ,ÓÐÒåÎñµÄ,¹ØÁªµÄ,±ãÃØµÄ,×¼±¸È¥...µÄ,±»Êø¸¿µÄvi. ÌøÔ¾,µ¯Æðvt. Ê¹Ìø,ÏÞÖ¹,ÁÚ½Óa. ×°¶©µÄ;[baund]
boundary;n. ±ß½ç,·Ö½çÏß;['baund4ri]
boundless;a. ÎÞÏÞµÄ,ÎÞ±ßÎÞ¼ÊµÄ;['baundlis]
bow;n. ¹­,ÑÛ¾¦¿òvt.vi. ÓÃ¹­À­ÇÙ,Íä³É¹­ÐÎn. ¾Ï¹ª,´¬Ê×,Çü·þvt.vi. ¾Ï¹ª,ÍäÑü;[bau]
brace;n. Ö§Öù,Çú±ú,Ö§³Å,Ò»¶Ôvt. ½ô¸¿,Ö§³Å,¼¤Àøvi. ´òÆð¾«Éñ;[breis]
brag;n. ´µÅ£vt.vi. ´µÅ£;[br1g]
brain;n. ÄÔvt. ´òËéÄÔ²¿;[brein]
brawl;n. Õù³³vi. Õù³³,»©»©µØÁ÷Ë®;[br3:l]
breach;n. ÁÑ¿Ú,Î¥±³,ÆÆ»µ,ÆÆÁÑ,Í»ÆÆ,Î¥·´vt. ¹¥ÆÆ,Í»ÆÆvi. Ìø³öË®Ãæ;[bri:t5]
breakdown;n. ±ÀÀ£,¹ÊÕÏ;['breikdaun]
breed;n. ÖÖÀà,Æ·ÖÖvt.vi. ÑøÓý,ÒýÆð,ËÇÑø,·±Ö³;[bri:d]
breeze;n. Î¢·ç,ÃºÐ¼,Çá¶øÒ×¾ÙµÄÊÂvi. ´µÎ¢·ç,ÌÓ×ß;[bri:z]
brew;n. ÄðÔì¾Æ,ÔÍÄðvt.vi. ÄðÔì,ÔÍÄð;[bru:]
brighten;vi. ±äÁÁ,»îÔ¾vt. Ê¹Éú»Ô,ÊÂ¿ì»î;['braitn]
brim;n. ±ß,±ßÔµ,(ºÓ)±ßvt. ×¢Âú,Ê¹ÂúÒçvi. ÂúÒç;[brim]
brink;n. ±ßÔµ,Ë®±õ;[bri6k]
brisk;a. ÃôÈñµÄ,ÁÝÙýµÄ,»îÆÃµÄvt. Ê¹»îÆÃvi. »îÔ¾ÆðÀ´;[brisk]
brittle;a. Ò×ËéµÄ,´àÈõµÄ,Ò×»µµÄ;['britl]
broaden;vi. ±ä¿í,À©´óvt. ·Å¿í,Ê¹À©´ó;['br3:dn]
bruise;n. ðöÉË,²ÁÉËvi. ÊÜÉË,²ÁÉËvt. Ê¹ÊÜÉË,ÑÐËé;[bru:z]
brutal;a. ²ÐÈÌµÄ,Ò°ÂùµÄ,²»½²ÀíµÄ;['bru:tl]
bud;n. Ñ¿,»¨ÀÙvi. ·¢Ñ¿,ÃÈÑ¿vt. Ê¹·¢Ñ¿;[b8d]
budge;vi. ÒÆ¶¯,Î¢Î¢Ò»¶¯vt. ÍÆ¶¯n. ¸áÆ¤;[b8d9]
budget;n. Ô¤Ëãvi. ±àÔ¤Ëãvt. ±àÈëÔ¤Ëã,°²ÅÅa. Á®¼ÛµÄ;['b8d9it]
bulk;n. ´óÐ¡,Ìå»ý,´óÅú,´ó¶àÊývt.ÏÔµÃ´ó,ÏÔµÃÖØÒª,;[b8lk]
bulky;a. ÅÓ´óµÄ;['b8lki]
burglar;n. ÇÔÔô;['b4:gl4]
burning;a. È¼µÄ,ÉÕµÄ,ÏñÈ¼ÉÕÒ»ÑùµÄn. ÉÕ,È¼ÉÕ;['b4:ni6]
burnish;vt. Ä¥,´òÄ¥,Ä¥¹âvi. Ä¥¹â·¢ÁÁn. ¹â»Ô,¹âÔó;['b4:ni5]
butt;n. ÑÌÍ·,°Ð,Ð¦±ú;[b8t]
butter;n. ÄÌÓÍ,»ÆÓÍvt. Í¿»ÆÓÍÓÚ;['b8t4]
byword;n. ÑèÓï,¸ñÑÔ,Ð¦±ú;['baiw4:d]
calamity;n. ÔÖÄÑ,²»ÐÒÊÂ¼þ;[k4'l1miti]
calculate;vt.vi. ¼ÆËã,¿¼ÂÇ,¼Æ»®,´òËã;['k1lkjuleit]
caliber;n. ¿Ú¾¶,²Å¸É,Æ÷Á¿;['k1l4b4]
cancel;n. È¡Ïû,³·Ïú,¸ÇÏú(ÓÊÆ±)vt. È¡Ïû,É¾È¥,µÖÏû,¸ÇÏúvi. Ïà»¥µÖÏû;['k1ns4l]
candidate;n. ºòÑ¡ÈË,Í¶¿¼Õß;['k1ndidit]
canny;a. ¾«Ã÷µÄ,½÷É÷µÄ;['k1ni]
canvas;n. ·«²¼,»­²¼,ÓÍ»­;['k1nv4s]
capable;a. ÓÐÄÜÁ¦µÄ,ÄÜµÄ,ÄÜ¸ÉµÄ;['keip4bl]
capacious;a. ÈÝ»ý´óµÄ,¹ãÀ«µÄ,¿í³¨µÄ;[k4'pei54s]
captivate;vt. ÃÔ×¡,ÃÔ»ó;['k1pti'veit]
captivity;n. Çô½û,±»¹Ø;[k1p'tiviti]
carbon;n. Ì¼,¸±±¾,¸´Ð´Ö½;['ka:b4n]
cardinal;n. Êà»úÖ÷½Ì,ÏÊºìÉ«a. Ö÷ÒªµÄ,ÉîºìÉ«µÄ;['ka:dinl]
career;n. ÊÂÒµ,ÉúÑÄ,ËÙ¶È;[k4'ri4]
carnage;n. ´óÍÀÉ±,²ÐÉ±;['ka:nid9]
carnal;a. ÈâÌåµÄ,ÈâÓûµÄ;['karn4l]
castigate;vt. ³Í·£,¿ÁÆÀ,ÐÞ¶©;['k1stigeit]
casual;a. Å¼È»µÄ,²»¾­ÒâµÄ,±ã×°µÄn. ÁÙÊ±¹¤,´ýÃüÊ¿±ø;['k19ju4l]
casualty;n. ÑÏÖØÊÂ¹Ê,ÉËÍö,ÊÜº¦Õß;['k19ju4lti]
cataclysm;n. ´óºéË®,µØÕð,(Éç»áÕþÖÎµÄ)´ó±ä¶¯;['k1t4'kliz4m]
catastrophe;n. ´óÔÖÄÑ,´ó»ö;[k4't1str4fi]
catching;a. Ò×´«È¾µÄ,ÓÐ÷ÈÁ¦µÄ,ÃÔÈËµÄ;['k1t5i6]
categorical;a. ÊôÓÚ·¶³ëµÄ,¾ø¶ÔµÄ,Ã÷È·µÄ;[k1t4'g2:ikl]
cathedral;n. ´ó½ÌÌÃ;[k4'7i:dr4l]
catholic;n. ÌìÖ÷½ÌÍ½,¾É½ÌÍ½a. ÌìÖ÷½ÌµÄ,¾É½ÌµÄ,¿íºê´óÁ¿µÄ,Ò»°ãµÄ,ÆÕ±éµÄ;['k174lik]
cause;n. Ô­Òò,Ä¿±êvt. ÒýÆð,Ê¹²úÉú,³ÉÎª...µÄÔ­Òò;[k3:z]
caustic;n. ¸¯Ê´¼Áa. ¸¯Ê´ÐÔµÄ;['k3:stik]
cautious;a. ½÷É÷µÄ,Ð¡ÐÄµÄ;['k3:54s]
cavern;n. ¾ÞÑ¨,¶´¿ßvt. ·ÅÓÚÉ½¶´ÖÐ,ÍÚ¿Õ;['k1v4n]
ceaseless;a. ²»Í£µÄ,²»¶ÏµÄ;['si:slis]
celebrity;n. ÃûÉù,ÃûÈË;[si'lebriti]
celestial;a. ÌìµÄ,Ìì¹úµÄ,Ìì¿ÕµÄ;[si'lestj4l]
censor;n. ¼ì²éÔ±vt. ¼ì²é,Éó²é,É¾¸Ä;['sens4]
censure;n. ÔðÄÑvt. ·ÇÄÑ,Ö¸Ôð;['sen54]
centigrade;a. ·ÖÎª°Ù¶ÈµÄ,ÉãÊÏµÄ;['sentigreid]
ceremonial;n. ÒÇÊ½a. ÕýÊ½µÄ;['seri'm4unj4l]
ceremonious;a. ½²¾¿ÒÇÊ½µÄ,Â¡ÖØµÄ;[seri'mounj4s]
ceremony;n. µäÀñ,ÒÇÊ½,Àñ½Ú;['serim4ni]
chafe;n. ²ÁÉË,ÆøÄÕvt.vi. Ä¦²Á,²ÁÍ´,¼¤Å­;[t5eif]
chalk;n. ·Û±Ê,°×ÛÑvt. ÓÃ·Û±ÊÐ´,¼ÇÂ¼;[t53:k]
champion;n. ¹Ú¾ü,Óµ»¤Õß,Õ½Ê¿vt. ±£ÎÀ,Óµ»¤a. ÓÅÊ¤µÄ;['t51mpj4n]
chaos;n. ´ó»ìÂÒ,»ìãç;['kei3s]
chalk;n. ·Û±Ê,°×ÛÑvt. ÓÃ·Û±ÊÐ´,¼ÇÂ¼;[t53:k]
champion;n. ¹Ú¾ü,Óµ»¤Õß,Õ½Ê¿vt. ±£ÎÀ,Óµ»¤a. ÓÅÊ¤µÄ;['t51mpj4n]
chaos;n. ´ó»ìÂÒ,»ìãç;['kei3s]
character;n. ¸öÐÔ,×ÖÔª,ÈËÎï,×Ê¸ñ,Æ·¸ñ;['k1rikt4]
charge;n. Ö¸¿Ø,·ÑÓÃ,³å·æ,µçºÉ,Õ¨Ò©,Öö¸À,±»ÍÐ¹ÜÈË,Ö÷¹Üvt. ¿ØËß,¼Ó×ïÓÚ,Ê¹³Ðµ£,³äµçvi. ³å·æ,Òª¼Û,ÊÕ·Ñ;[t5a:d9]
charisma;n. ·Ç·²µÄÁìµ¼Á¦,½Ì×æ°ãµÄÖ¸µ¼Á¦,ÉñÊÚµÄÄÜÁ¦;[k4'rizm4]
charitable;"adj. 1 a. ´È±¯Îª»³µÄ; ÈÊ´ÈµÄ,´ÈÉÆµÄb. [¶Ôÿ]´È±¯ [ÈÊ´È] µÄ[to, toward]2 ¸»ÓÚ²©°®¾«Éñ [»ù¶½½ÌÖ®°®] µÄ3 a.  (¶ÔÈËÆÀ¹ÀÊ±) ¿í´ó [¿íÈÝ] µÄb. [¶Ôÿ]¿í´ó [¿íÈÝ] µÄ[to, toward]4  (×ö) ´ÈÉÆµÄ <ÍÅÌå>  adv. charitably n. ~ness";['t51r4t4bl]
charity;n. ´È±¯,²©°®,´ÈÉÆÍÅÌå,Ê©Éá;['t51riti]
chary;a. Ï¸ÐÄµÄ,ÁßØÄµÄ,½÷É÷µÄ;['t51ri]
chaste;a. Õê½àµÄ,´¿½àµÄ,ÆÓËØµÄ;[t5eist]
chat;n. ÏÐÌ¸vi. ÏÐÌ¸,ÁÄÌì;[t51t]
check;n. ¼ì²é,Ö§Æ±,ÏóÆåÖÐ½«¾ü,ÐÐÀîÆ±vt. ¼ì²é,×èÖ¹,ÍÐÔË,¼Ä´æ,ºË¶Ôvi. ÖðÏîÏà·û,¿ªÖ§Æ±;[t5ek]
cherish;vt. Õä°®,»³ÓÐ,°®»¤;['t5eri5]
chide;vt.vi. ³âÔð,ÔðÂî;[t5aid]
chiefly;ad. Ö÷ÒªµØ;['t5i:fli]
chill;n. º®Àä,º®Òâ,Ê§Òâa. º®ÀäµÄ,ÀäÄ®µÄvt. Ê¹º®ÐÄ,Àä¶³vi. ±äÀä;[t5il]
chilly;a. º®ÀäµÄ,Àäµ­µÄ,²»ÓÑºÃµÄ;['t5ili]
chirp;n. ÔûÔûÉù,ßóßóÉùvt.vi. Ö¨Ôû¶øÃù;[t54:p]
choice;n. Ñ¡Ôñ,¾«Ñ¡Æ·,Ñ¡ÔñÈ¨a. ¾«Ñ¡µÄ,ÌôÈý¼ðËÄµÄ,¿ÉÑ¡µÄ;[t53is]
choke;vt. ÖÏÏ¢,×èÈû,Ò­,ÒÖÖÆvi. ÖÏÏ¢,×èÈû,Ò­n. ÖÏÏ¢,Ò­,×èÆøÃÅ;[t54uk]
choose;vt. Ñ¡Ôñ,ÄþÔ¸,Óûvi. Ñ¡Ôñ,Ï²»¶;[t5u:z]
chop;n. ºñÈâÆ¬,ÅÅ¹Ç,¿³,ÉÌ±ê,´Á¼Ç,½»»»vt. ¶çËé,¿³,ÇÐ,¸î¶Ïvi. ¿³,Í»È»×ªÏò;[t53p]
chore;n. Áã¹¤,¼ÒÎñ;[t53:]
chorus;n. ºÏ³ª¶Ó,ÆëÉùvt.vi. ÆëÉùËµµÀ,ºÏ³ª;['k3:r4s]
chronic;a. ÂýÐÔµÄ,Ï°¹ßÐÔµÄ;['kr3nik]
chuckle;n. ³Ô³ÔµÄÐ¦Éù,ÇáÐ¦vi. ³Ô³ÔµÄÐ¦,¿©¿©½Ð;['t58kl]
cipher;n. Áã,°µºÅ,°¢À­²®Êý×Ö,ÎÞÓÃµÄ¶«Î÷,ÃÜÂëvt.vi. ¼ÆËã,×öËãÊõ;['saif4]
circuitous;a. ÓØ»ØµÄÂ·µÄ,ÓØÇúµÄ,ÈÆÐÐµÄ;[s4'kju:it4s]
circular;a. Ô²ÐÎµÄ,Ñ­»·µÄ,ÖÜÎ§µÄ;['s4:kjul4]
circulate;vi.vt. (Ê¹)Á÷Í¨,Ê¹)Ñ­»·,(Ê¹)´«²¥;['s4:kjuleit]
circulation;n. Á÷Í¨,Ñ­»·,·¢ÐÐÁ¿;['s4:kju'lei54n]
circumference;n. Ô²ÖÜ,ÖÜÎ§,ÐØÎ§;[s4'k8mf4r4ns]
circumscribe;vt. ÔÚ...ÖÜÎ§»­Ïß,ÏÞÖÆ;[s4:k4m'skraib]
circumspect;a. Ï¸ÐÄµÄ,É÷ÖØµÄ;['s4:k4mspekt]
circumvent;vt. ÈÆÐÐ,ÏÝº¦,°üÎ§,ÖÇÈ¡;[s4:k4m'vent]
cite;vt. ÒýÓÃ,ÒýÖ¤,ÀýÖ¤;[sait]
civilian;n. Æ½Ãñ,ÎÄ¹Ùa. Æ½ÃñµÄ,ÎÄ¹ÙµÄ,Ãñ¼äµÄ;[si'vilj4n]
clamor;n. ÐúÄÖ,½ÐÈÂ,´óÉùµÄÒªÇóvi.vt. ÐúÈÂ,´óÉùµÄÒªÇó;['kl1m4]
clamp;n. ÂÝË¿Ç¯vt. ¼Ð½ô,Ç¿¼Ó;[kl1mp]
clandestine;a. ÃØÃÜµÄ;[kl1n'destin]
clarify;vi. ³ÎÇå,²ûÃ÷vt. Ê¹Ã÷Îú;['kl1rifai]
clause;n. ×Ó¾ä,Ìõ¿î;[kl3:z]
clean;a. ¸É¾»µÄ,Çå°×µÄ,ÇÉÃîµÄad. Çå½àµØ,ÍêÈ«µØvt. ÇåÀí,Ê¹¸É¾»,³ö¿Õvi. ±»¸ã¸É¾»;[kli:n]
cleanse;vt. Ê¹Çå½à,¾»»¯,Ê¹´¿½à;[klenz]
cleft;n. ÁÑ·ì,ÁÑ¿Úa. Åü¿ªµÄvbl. Åü¿ª,·Ö¿ª;[kleft]
clergy;n. Ê¥Ö°Õß,ÄÁÊ¦,É®ÂÂ,ÉñÖ°ÈËÔ±;['kl4:d9i]
climate;n. Æøºò,ÃñÒâ×´¿ö,Éç»áÇ÷ÊÆ,·çÍÁ;['klaimit]
climax;n. ¸ß³±,¼«µã,²ã½ø·¨vi.vt.(Ê¹)´ïµ½¶¥µã,(Ê¹)´ïµ½¸ß³±;['klaim1ks]
clinch;n. ¶¤ÀÎvt.vi. ÇÃÍä,Å¤×¡;[klint5]
cling;vi. Õ³½ô,¸½×Å,½ôÌù,¼á³Ö;[kli6]
clinic;n. ÕïËù,ÁÙ´²½ÌÑ§;[klinik]
clip;n. ÐÞ¼ô,¼Ð,»ØÐÎÕë,¼ôÏÂÀ´µÄ¶«Î÷vt. ÐÞ¼ô,Í´´ò,¼ÐÀÎ,¼ô¼­vi. ¼ô±¨,;[klip]
clog;n. ÕÏ°­,ÖØÎïvt.vi. ÕÏ°­,×èÈû;[kl3g]
close;n. ½áÊø,Íê½áa. ¿¿½üµÄ,Ç×½üµÄ,Ç×ÃÜµÄ,ÏÁÕ­µÄÃØÃÜµÄ,¹Ø±ÕµÄvt. ¹Ø,½áÊø,Ê¹½Ó½ü,·â±Õ,Ê¹¿¿½üvi. ¹Ø±Õ,½áÊø,¿¿½üad. ½Ó½üµØ,½ôÃÜµØv. ¹Ø±Õ;[kl4uz,kl4us]
clot;n. Äý¿é,Èºvt.vi. (Ê¹)Äý½á,(Ê¹)¾Û¼¯;[kl3t]
clothing;n. ÒÂ·þ;['kl4u0i6]
clumsy;a. ±¿×¾µÄ,²»ÑÅ¹ÛµÄ,´ÖÂªµÄ;['kl8mzi]
cluster;n. ´®,´Ô,Èºvi. ³É´®,´ÔÉúvt. Ê¹¾Û¼¯n. ´Ø;['kl8st4]
clutter;n. ÔÓÂÒvt. ÅªÂÒ,»ìÂÒ;['kl8t4]
coarse;a. ´Ö²ÚµÄ,ÏÂµÈµÄ,´ÖË×µÄa. ´ÖÂÔµÄ;[k3:s]
coax;vt. ºå,ÓÕÆ­,ÂýÂýµÄ×öºÃvi. ºåÆ­n. ºåÆ­;[k4uks]
coddle;vt. ½¿Ñø,Äç°®,Öóµ°n. ½¿Éú¹ßÑøµÄÈË,±¦±´×ÓµÜ,½¿Ñø_¢µÄÈ?;['k3dl]
